cProfile_30_100.dat
         5556146 function calls (2879839 primitive calls) in 5.583 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       16    1.155    0.072    1.155    0.072 {built-in method select.select}
       25    0.793    0.032    0.793    0.032 {built-in method _openssl.SSL_read}
        2    0.551    0.276    0.551    0.276 {built-in method _socket.getaddrinfo}
3116480/528480    0.517    0.000    0.612    0.000 encoder.py:332(_iterencode_dict)
        2    0.415    0.207    0.415    0.207 {method 'connect' of '_socket.socket' objects}
        4    0.397    0.099    0.398    0.099 {built-in method _openssl.SSL_do_handshake}
     1078    0.127    0.000    0.127    0.000 {built-in method marshal.loads}
   528480    0.076    0.000    0.688    0.000 encoder.py:411(_iterencode)
3312/3249    0.062    0.000    0.369    0.000 {built-in method builtins.__build_class__}
   1500/1    0.061    0.000    5.587    5.587 {built-in method builtins.exec}
522393/522391    0.054    0.000    0.057    0.000 {built-in method builtins.isinstance}
       28    0.045    0.002    0.742    0.026 encoder.py:181(encode)
   103/93    0.043    0.000    0.068    0.001 {built-in method _imp.create_dynamic}
        2    0.037    0.018    0.037    0.018 {built-in method _openssl.SSL_CTX_load_verify_locations}
   200736    0.033    0.000    0.033    0.000 {built-in method _json.encode_basestring_ascii}
        1    0.031    0.031    0.113    0.113 _continuous_distns.py:5(<module>)
       31    0.028    0.001    0.028    0.001 decoder.py:345(raw_decode)
     7049    0.026    0.000    0.026    0.000 {built-in method posix.stat}
61125/8847    0.025    0.000    0.030    0.000 utils.py:355(node_generator)
   3541/1    0.023    0.000    0.031    0.031 utils.py:301(decode_unicode)
      168    0.022    0.000    0.022    0.000 cm.py:47(<listcomp>)
     2122    0.022    0.000    0.086    0.000 <frozen importlib._bootstrap_external>:1215(find_spec)
    43888    0.021    0.000    0.029    0.000 encoder.py:276(_iterencode_list)
 1111/296    0.021    0.000    0.057    0.000 sre_parse.py:491(_parse)
      260    0.020    0.000    0.050    0.000 doccer.py:12(docformat)
 6368/145    0.016    0.000    0.062    0.000 pyparsing.py:1347(_parseNoCache)
24991/24593    0.016    0.000    0.093    0.000 {method 'join' of 'str' objects}
     1078    0.015    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:816(get_data)
1355/1326    0.012    0.000    0.137    0.000 <frozen importlib._bootstrap>:879(_find_spec)
        9    0.012    0.001    0.012    0.001 {method 'decompress' of 'zlib.Decompress' objects}
     7622    0.011    0.000    0.011    0.000 {method 'splitlines' of 'str' objects}
        5    0.011    0.002    0.011    0.002 config.py:740(is_type_factory)
     1879    0.011    0.000    0.012    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
    22710    0.011    0.000    0.011    0.000 {built-in method builtins.getattr}
18849/18339    0.011    0.000    0.041    0.000 {built-in method builtins.hasattr}
    23667    0.010    0.000    0.010    0.000 sre_parse.py:226(__next)
    11810    0.010    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:50(_path_join)
 2132/264    0.010    0.000    0.029    0.000 sre_compile.py:64(_compile)
    11810    0.010    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:52(<listcomp>)
        1    0.010    0.010    1.911    1.911 graph_reference.py:66(get_graph_reference)
     1031    0.009    0.000    0.020    0.000 inspect.py:2065(_signature_from_function)
      866    0.009    0.000    0.012    0.000 sre_compile.py:248(_optimize_charset)
     1078    0.009    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:419(_validate_bytecode_header)
4224/3962    0.009    0.000    0.014    0.000 pyparsing.py:349(__init__)
     6097    0.008    0.000    0.008    0.000 {built-in method __new__ of type object at 0x7fb442c8c360}
     1078    0.008    0.000    0.190    0.000 <frozen importlib._bootstrap_external>:729(get_code)
    95509    0.008    0.000    0.008    0.000 {method 'append' of 'list' objects}
      260    0.008    0.000    0.012    0.000 doccer.py:128(indentcount_lines)
     1078    0.008    0.000    0.008    0.000 {method 'read' of '_io.FileIO' objects}
   1431/2    0.008    0.000    3.612    1.806 <frozen importlib._bootstrap>:966(_find_and_load)
     2156    0.007    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:246(cache_from_source)
     9777    0.007    0.000    0.007    0.000 {method 'format' of 'str' objects}
      375    0.007    0.000    0.007    0.000 {built-in method io.open}
